alias,canonical,is_mine,notes
no brand,Unbranded,no,Lazada's placeholder for sellers who left brand blank
nobrand,Unbranded,no,
ไม่ระบุแบรนด์,Unbranded,no,
ไม่มีแบรนด์,Unbranded,no,
oem,Unbranded,no,
cuphar,CUphar,no,Chulalongkorn Faculty of Pharmacy
probiokhlear,CUphar,no,CUphar product line sold as its own brand by some sellers
blackmores,Blackmores,no,
mega we care,Mega We Care,no,
mega,Mega We Care,no,
vistra,Vistra,no,
บิ๊กซี,Big C,no,
amsel,Amsel,no,
dietz,Dietz,no,
puriva,Puriva,no,
biolife,Biolife,no,
lacto fit,Lacto-Fit,no,
lactofit,Lacto-Fit,no,
chulaherb,Chulaherb,no,
giffarine,Giffarine,no,
กิฟฟารีน,Giffarine,no,
