date,platform,skus,median_promo_price,median_retail_price,p25_promo_price,p75_promo_price,avg_discount_pct,promo_penetration_pct,brands,sellers
2026-08-10,lazada,1201,499.0,790.0,279.0,1090.0,27.3,70.6,247,708
2026-08-11,lazada,1167,490.0,699.0,279.0,999.5,24.9,65.4,241,667
2026-08-12,lazada,1167,490.0,699.0,279.0,990.0,24.9,66.2,243,669
2026-08-13,lazada,1254,459.0,606.5,271.07,919.75,25.1,65.7,255,760
2026-08-14,lazada,1244,490.0,690.0,276.5,999.0,24.7,65.2,251,733
2026-08-15,lazada,1220,454.79,650.0,250.0,990.0,27.1,70.7,240,713
2026-08-16,lazada,1212,499.0,707.5,279.23,1078.0,25.5,68.9,249,730
2026-08-17,lazada,1206,450.0,650.0,239.0,990.0,27.1,69.7,237,719
2026-08-18,lazada,1192,459.0,622.0,259.0,961.25,24.5,64.5,239,701
2026-08-20,lazada,1210,457.38,633.4,250.0,941.71,25.6,66.3,244,723
2026-08-23,lazada,1259,456.0,603.13,250.0,990.0,23.8,63.2,255,757
2026-08-24,lazada,1307,429.0,598.0,236.5,958.0,24.8,64.7,262,790
2026-08-25,lazada,1297,448.01,599.0,239.0,899.0,26.1,67.3,259,793
2026-08-26,lazada,1172,450.0,610.0,249.0,900.0,26.4,68.1,238,688
2026-08-27,lazada,1217,459.0,687.0,255.0,990.0,25.9,67.3,255,728
2026-08-29,lazada,1189,449.0,680.0,250.0,950.0,26.3,68.7,252,714
2026-08-31,lazada,1206,467.5,695.5,259.0,1000.0,26.5,69.6,248,704
2026-09-01,lazada,1226,490.0,698.0,270.0,1000.0,24.7,64.0,258,725
2026-09-02,lazada,1188,490.0,691.5,260.0,1050.75,24.4,65.2,253,717
