date,prev_date,platform,item_id,product_name,brand_name,seller_name,subcategory,prev_retail,retail_price,prev_promo,promo_price,promo_change,promo_change_pct,prev_discount_pct,discount_pct,discount_pct_change,units_sold_delta,status,promo_event,variant_changed,prev_sku_id,sku_id,url
2026-09-18,2026-09-17,lazada,5643837899,MAMA BEAUTY Probiotic Capsules โปรไบโอติก แคปซูล ผสมพรีไบโอติกออร์แกนิก 3ชนิด อาหารเสริมสุขภาพ Vegan Friendly การสนับสนุน สําหรับระบบทางเดินอาหาร 120 แคปซูล,mama Beauty,MAMABEAUTY SHOP,Digestive Care,945.0,945.0,151.2,132.3,-18.9,-12.5,84.0,86.0,2.0,0.0,price_drop,deepened,no,24111420504,24111420504,https://www.lazada.co.th/products/pdp-i5643837899.html
2026-09-18,2026-09-17,lazada,5014864540,GENI DHA 5000 + Probiotics รสส้ม เจลลี่จีนี่ ดีเอชเอ โพรไบโอติค,Geni,เอชคิวซีค,Multivitamins,1290.0,1290.0,790.0,711.0,-79.0,-10.0,38.8,44.9,6.1,0.0,price_drop,deepened,no,21193411993,21193411993,https://www.lazada.co.th/products/pdp-i5014864540.html
2026-09-18,2026-09-17,lazada,5014984103,GENI DHA 5000 + Probiotics รสส้ม 3 กล่อง เจลลี่จีนี่ ดีเอชเอ โพรไบโอติค,Geni,เอชคิวซีค,Multivitamins,3870.0,3870.0,2190.0,1971.0,-219.0,-10.0,43.4,49.1,5.7,,price_drop,deepened,no,21193605619,21193605619,https://www.lazada.co.th/products/pdp-i5014984103.html
2026-09-18,2026-09-17,lazada,5015014168,GENI DHA 5000 + Probiotics รสสตรอเบอรี่ 2 ส้ม 1 เจลลี่จีนี่ ดีเอชเอ โพรไบโอติค,Geni,เอชคิวซีค,Multivitamins,3870.0,3870.0,2190.0,1971.0,-219.0,-10.0,43.4,49.1,5.7,0.0,price_drop,deepened,no,22120726615,22120726615,https://www.lazada.co.th/products/pdp-i5015014168.html
2026-09-18,2026-09-17,lazada,5030342185,เจลลี่จีนี่ ดีเอชเอ โพรไบโอติค GENI DHA 5000 + Probiotics รสส้ม (โปรโมชั่น),Geni,เอชคิวซีค,Multivitamins,1290.0,1290.0,790.0,711.0,-79.0,-10.0,38.8,44.9,6.1,0.0,price_drop,deepened,no,21267529565,21267529565,https://www.lazada.co.th/products/pdp-i5030342185.html
2026-09-18,2026-09-17,lazada,5795179087,(พร้อมส่ง) Estrix เอสทริกซ์ ตัวช่วยดูแลการขับถ่าย และสมดุลลําไส้ 1 กล่อง รวมโปรไบโอติกส์ที่เหมาะสําหรับผู้ที่ต้องการดูแลระบบขับถ่ายเป็นประจํา,Bonback,Olise Store,Digestive Care,119.0,119.0,105.0,95.0,-10.0,-9.5,11.8,20.2,8.4,0.0,price_drop,deepened,no,24669592950,24669592950,https://www.lazada.co.th/products/pdp-i5795179087.html
2026-09-18,2026-09-17,lazada,5896439748,MAMA BEAUTY โปรไบโอติก Probiotic Capsules Probiotics Supplement โปรไบโอติก แคปซูล 300 พันล้านCFU เหมาะสําหรับทั้งชายและหญิง ช่วยให้ระบบย่อยอาหารดีขึ้น 120 แคปซูล,Baigu,Baigu1,Digestive Care,1591.0,1591.0,239.25,223.3,-15.95,-6.7,85.0,86.0,1.0,0.0,price_drop,deepened,no,25218769150,25218769150,https://www.lazada.co.th/products/pdp-i5896439748.html
2026-09-18,2026-09-04,lazada,4600578371,Synbiotic Synpro MS ซินไบโอติกส์ ซินโปร เอ็มเอส ขนาด 7 ซอง โปรพิเศษ ซึ้อ Synbiotics แถมฟรี สาหร่ายเกลียวทอง คู่นี้สุดคุ้ม,Memories,เก้านรี (๙ นรี),Digestive Care,981.0,981.0,650.0,630.0,-20.0,-3.1,33.7,35.8,2.1,1.0,price_drop,deepened,no,18849078205,18849078205,https://www.lazada.co.th/products/pdp-i4600578371.html
2026-09-18,2026-09-17,lazada,3843570669,InterPharma Probac 7 อินเตอร์ฟาร์มา โปรแบค เซเว่น [30 ซอง] โปรไบโอติก 1 กล่อง,Interpharma,Noracosmetic,Well Being Sets,2090.0,2090.0,1756.5,1757.0,0.5,0.0,16.0,15.9,-0.1,0.0,price_rise,none,no,14661338952,14661338952,https://www.lazada.co.th/products/pdp-i3843570669.html
2026-09-18,2026-09-15,lazada,4517258283,InterPharma Probac 10 Plus อินเตอร์ฟาร์ม่า โปรแบค 10 พลัส [30 ซอง],Interpharma,Noracosmetic,Immunity,3989.0,3989.0,3297.5,3298.0,0.5,0.0,17.3,17.3,0.0,0.0,price_rise,none,no,18332062074,18332062074,https://www.lazada.co.th/products/pdp-i4517258283.html
2026-09-18,2026-09-17,lazada,5049658033,Fit Probiotic Shot ฟิต โพรไบโอติก ช็อค [2 กล่อง] โพไบโอติกส์ โปรโบโอติก,FIT,Bestpricevitamin,Digestive Care,2079.0,2079.0,1491.5,1492.0,0.5,0.0,28.3,28.2,-0.1,0.0,price_rise,none,no,21350565640,21350565640,https://www.lazada.co.th/products/pdp-i5049658033.html
2026-09-18,2026-09-17,lazada,16164623117,MSP Miracle Vageen เอ็มเอสพี มิราเคิล วาจีน [30 แคปซูล] โปรไบโอติก Probiotic ดูแล จุดซ่อนเร้น,MSP,Noracosmetic,Women's Health,620.0,620.0,407.5,408.0,0.5,0.1,34.3,34.2,-0.1,,price_rise,none,no,127185059406,127185059406,https://www.lazada.co.th/products/pdp-i16164623117.html
2026-09-18,2026-09-17,lazada,16165376740,MSP Miracle Vageen เอ็มเอสพี มิราเคิล วาจีน [30 แคปซูล] โปรไบโอติก Probiotic ดูแล จุดซ่อนเร้น,MSP,HealthExpress,Women's Health,699.0,699.0,393.5,394.0,0.5,0.1,43.7,43.6,-0.1,,price_rise,none,no,127198670859,127198670859,https://www.lazada.co.th/products/pdp-i16165376740.html
2026-09-18,2026-09-17,lazada,16165408066,MSP Miracle Vageen เอ็มเอสพี มิราเคิล วาจีน [30 แคปซูล] โปรไบโอติก Probiotic ดูแล จุดซ่อนเร้น [THP เดิม],MSP,Bestpricevitamin,Women's Health,620.0,620.0,407.5,408.0,0.5,0.1,34.3,34.2,-0.1,,price_rise,none,no,127185037067,127185037067,https://www.lazada.co.th/products/pdp-i16165408066.html
2026-09-18,2026-09-17,lazada,4294360534,[3 กล่อง] Posh Medica Probiotics พอช เมดิก้า โพรไบโอติก [6 ซอง] ไฟเบอร์ โพรไบโอติค [MC Plus แมค พลัส เดิม],Posh,Bestpricevitamin,All Probiotic (search),693.0,693.0,420.5,421.0,0.5,0.1,39.3,39.2,-0.1,0.0,price_rise,none,no,17068536523,17068536523,https://www.lazada.co.th/products/pdp-i4294360534.html
2026-09-18,2026-09-17,lazada,4369067968,Winona Probio MSMC (สูตร1) 3 กระปุก จุลินทรีย์มีชีวิต โพรไบโอติกส์ สายพันธุ์ไทย,Winona,วิโนน่าเฟมินิน,Digestive Care,4792.0,4797.0,4792.0,4797.0,5.0,0.1,0.0,0.0,0.0,1.0,price_rise,none,no,17418875870,17418875870,https://www.lazada.co.th/products/pdp-i4369067968.html
