date,seller_name,sku_count,median_promo_price,min_promo_price,avg_discount_pct,promo_sku_count,avg_rating,total_reviews,units_sold_total,units_sold_delta,revenue_proxy,share_of_shelf_pct,promo_penetration_pct
2026-08-10,iLiveLife,17,1098.0,420.0,29.2,17,4.9,27,119,0,0.0,1.4,100.0
2026-08-10,Top Mall - HK,13,1536.23,849.09,24.7,13,4.69,80,337,0,0.0,1.1,100.0
2026-08-10,"Vitamin Universe shop(BTL SUPPLEMENT CO.,LTD)",13,1005.0,749.0,0.0,0,5.0,125,578,0,0.0,1.1,0.0
2026-08-10,Best vita,12,1620.0,890.0,27.2,12,5.0,1,0,0,0.0,1.0,100.0
2026-08-10,Bestprice ถูก ดี,11,408.8,140.8,27.8,11,4.98,3969,16670,0,0.0,0.9,100.0
2026-08-10,iBody Thailand,9,1029.0,466.0,26.2,9,4.9,73,386,0,0.0,0.7,100.0
2026-08-10,NUMBER4,8,1194.5,400.0,0.0,0,5.0,19,43,0,0.0,0.7,0.0
2026-08-10,Xtreme Supermarket🛒,8,293.5,250.0,4.3,3,5.0,10,69,0,0.0,0.7,37.5
2026-08-10,GloryBeauty,7,449.0,249.0,6.9,4,4.99,160,387,0,0.0,0.6,57.1
2026-08-10,Life Space Authorized Store,7,1345.16,890.0,30.2,7,4.97,4653,13948,0,0.0,0.6,100.0
2026-08-10,Chang011,7,2019.0,950.0,26.9,7,,0,0,0,0.0,0.6,100.0
2026-08-10,Dr.Jadehealth,7,1690.0,650.0,38.4,7,5.0,101,248,0,0.0,0.6,100.0
2026-08-10,Nantha beauty,6,590.0,390.0,0.0,0,,0,0,0,0.0,0.5,0.0
2026-08-10,Boots,6,360.0,215.0,38.6,6,4.96,213,933,0,0.0,0.5,100.0
2026-08-10,th-fangfang01,6,149.0,89.0,64.7,6,4.94,19,72,0,0.0,0.5,100.0
2026-08-10,GoldenWealth Land♻️,6,314.5,250.0,0.0,0,4.9,19,107,0,0.0,0.5,0.0
2026-08-10,รีเวร่า,6,3394.0,1459.68,15.8,6,5.0,27,101,0,0.0,0.5,100.0
2026-08-10,DR.LAB,5,399.0,399.0,58.2,5,5.0,4,5,0,0.0,0.4,100.0
2026-08-10,Watsons,5,599.0,279.0,27.8,5,4.9,135,510,0,0.0,0.4,100.0
2026-08-10,BEAUTY BOX NOW,5,589.0,304.1,34.0,5,4.96,1015,4395,0,0.0,0.4,100.0
2026-08-10,ManyMores Wellness,5,1395.0,1390.0,0.0,0,4.99,39,101,0,0.0,0.4,0.0
2026-08-10,"Better Life Thailand/BTL SUPLEMENT CO.,LTD",5,1184.5,838.42,0.0,0,5.0,33,159,0,0.0,0.4,0.0
2026-08-10,Healthcraft,5,1390.0,950.0,0.0,0,5.0,26,68,0,0.0,0.4,0.0
2026-08-10,เอชคิวซีค,5,790.0,790.0,40.6,5,5.0,30,68,0,0.0,0.4,100.0
2026-08-10,ACTIVA HEALTHCARE,5,590.0,561.0,36.7,5,4.97,620,1217,0,0.0,0.4,100.0
2026-08-10,Health_Invested,5,1990.0,890.0,21.6,5,5.0,3,5,0,0.0,0.4,100.0
2026-08-10,Money P 95,5,2290.0,1590.0,49.2,5,5.0,1,0,0,0.0,0.4,100.0
2026-08-10,Healthy Prime,4,920.0,325.0,48.9,4,5.0,84,162,0,0.0,0.3,100.0
2026-08-10,CoreVita,4,292.08,167.96,49.6,4,4.99,140,317,0,0.0,0.3,100.0
2026-08-10,ร้านวีไอพีวิตามินธรรมชาติ,4,324.25,181.01,56.9,4,4.97,239,605,0,0.0,0.3,100.0
2026-08-10,WellOrigin,4,260.97,53.9,56.9,4,5.0,1,18,0,0.0,0.3,100.0
2026-08-10,Everglow23,4,427.0,199.0,54.8,4,,0,0,0,0.0,0.3,100.0
2026-08-10,Mulittea Overseas Store,4,422.5,245.12,18.8,4,5.0,30,93,0,0.0,0.3,100.0
2026-08-10,Beautynista Outlet,4,1400.0,580.0,3.5,1,,0,0,0,0.0,0.3,25.0
2026-08-10,MMM1,4,640.0,480.0,0.0,0,5.0,4,14,0,0.0,0.3,0.0
2026-08-10,Happy Freshy,4,329.0,259.0,16.1,3,4.95,30,177,0,0.0,0.3,75.0
2026-08-10,ooy2shop,4,390.0,220.0,0.0,0,,0,0,0,0.0,0.3,0.0
2026-08-10,Prove+_TH,4,2624.0,268.0,17.7,4,5.0,3,35,0,0.0,0.3,100.0
2026-08-10,Lacto-Fit,4,282.5,118.0,23.7,4,4.97,1152,3998,0,0.0,0.3,100.0
2026-08-10,Greater Pharma,4,1097.5,599.0,17.5,4,4.91,144,405,0,0.0,0.3,100.0
2026-08-10,sololife,4,409.0,399.0,32.8,4,5.0,83,348,0,0.0,0.3,100.0
