date,subcategory,sku_count,median_promo_price,min_promo_price,avg_discount_pct,promo_sku_count,avg_rating,total_reviews,units_sold_total,units_sold_delta,revenue_proxy,share_of_shelf_pct,promo_penetration_pct
2026-08-10,Digestive Care,210,390.0,53.9,32.7,162,4.96,14104,56659,0,0.0,17.5,77.1
2026-08-10,All Probiotic (search),200,389.5,89.0,41.9,184,4.97,73534,214464,0,0.0,16.7,92.0
2026-08-10,Women's Health,195,399.0,50.0,25.6,136,4.92,2576,7778,0,0.0,16.2,69.7
2026-08-10,Multivitamins,191,699.0,99.0,25.8,142,4.91,4129,11696,0,0.0,15.9,74.3
2026-08-10,Immunity,189,745.0,8.0,16.8,100,4.97,2747,8915,0,0.0,15.7,52.9
2026-08-10,Detoxification,108,494.5,9.0,23.8,63,4.91,7223,23080,0,0.0,9.0,58.3
2026-08-10,Well Being Sets,108,1072.5,90.0,17.9,61,4.97,6707,25467,0,0.0,9.0,56.5
2026-08-11,Digestive Care,329,369.0,56.21,36.1,264,4.95,71941,218694,75,67738.25,28.2,80.2
2026-08-11,Immunity,200,649.0,8.0,16.6,101,4.96,8708,24611,14,14131.46,17.1,50.5
2026-08-11,Women's Health,200,450.0,50.0,20.8,126,4.96,2200,6748,12,7868.0,17.1,63.0
2026-08-11,Multivitamins,200,598.5,88.11,25.7,139,4.92,14744,38680,24,10687.52,17.1,69.5
2026-08-11,Well Being Sets,120,802.5,90.0,15.5,62,4.98,10031,30081,23,27975.0,10.3,51.7
2026-08-11,Detoxification,109,520.0,9.0,21.7,62,4.91,12357,39207,1,459.0,9.3,56.9
2026-08-11,All Probiotic (search),9,390.0,141.0,37.8,9,4.98,2830,10203,4,1196.0,0.8,100.0
2026-08-12,Digestive Care,327,359.0,53.8,36.5,269,4.95,73578,227509,157,78629.69,28.0,82.3
2026-08-12,Immunity,200,595.5,8.0,16.5,98,4.96,8695,24591,12,12110.0,17.1,49.0
2026-08-12,Women's Health,200,460.0,50.0,20.2,131,4.96,2181,6701,5,2238.0,17.1,65.5
2026-08-12,Multivitamins,200,584.5,88.11,25.6,138,4.92,14730,38673,36,10736.32,17.1,69.0
2026-08-12,Well Being Sets,120,765.0,90.0,15.3,65,4.98,9370,27936,7,7178.0,10.3,54.2
2026-08-12,Detoxification,111,500.0,9.0,22.0,63,4.91,12453,39472,1,447.0,9.5,56.8
2026-08-12,All Probiotic (search),9,390.0,140.9,37.0,9,4.98,2702,9387,2,780.0,0.8,100.0
2026-08-13,Digestive Care,334,359.0,45.0,32.2,251,4.94,69667,215366,156,34286.26,26.6,75.1
2026-08-13,Women's Health,200,457.2,50.0,24.6,132,4.93,3012,8595,8,3588.0,15.9,66.0
2026-08-13,Immunity,200,591.5,8.0,15.8,97,4.95,8071,22107,11,7075.91,15.9,48.5
2026-08-13,Multivitamins,200,538.16,69.0,26.4,141,4.93,14671,38675,29,14124.64,15.9,70.5
2026-08-13,Detoxification,173,414.0,9.0,24.7,109,4.93,28020,115013,0,0.0,13.8,63.0
2026-08-13,Well Being Sets,120,757.0,90.0,17.2,71,4.97,9282,27542,22,19025.2,9.6,59.2
2026-08-13,All Probiotic (search),27,333.63,80.0,36.0,23,4.95,6319,20189,115,35593.43,2.2,85.2
2026-08-14,Digestive Care,350,325.5,48.0,32.3,261,4.94,64169,207952,58,27758.39,28.1,74.6
2026-08-14,Immunity,200,657.5,8.0,15.7,97,4.96,6844,18829,14,6447.42,16.1,48.5
2026-08-14,Women's Health,200,460.0,50.0,22.2,136,4.93,2924,8475,9,3987.0,16.1,68.0
2026-08-14,Multivitamins,200,560.0,88.11,25.1,139,4.92,14851,39003,29,13006.28,16.1,69.5
2026-08-14,Detoxification,134,534.75,9.0,24.1,80,4.92,15998,47226,1,189.0,10.8,59.7
2026-08-14,Well Being Sets,120,919.5,90.0,19.0,67,4.98,6709,19119,12,17002.0,9.6,55.8
2026-08-14,All Probiotic (search),40,609.5,99.0,33.1,31,4.95,6131,19254,8,4074.2,3.2,77.5
2026-08-15,Digestive Care,342,279.15,48.0,38.3,290,4.94,70740,224030,86,54434.91,28.0,84.8
2026-08-15,Women's Health,200,390.0,50.0,23.9,141,4.94,2709,7658,11,3237.4,16.4,70.5
2026-08-15,Immunity,200,595.5,8.0,16.9,105,4.96,6780,18586,7,7354.29,16.4,52.5
2026-08-15,Multivitamins,200,660.0,99.0,25.2,145,4.92,14451,37295,15,5798.79,16.4,72.5
2026-08-15,Detoxification,133,515.57,9.0,25.1,82,4.92,16132,47665,4,1363.02,10.9,61.7
2026-08-15,Well Being Sets,120,765.0,90.0,19.6,76,4.98,9646,28566,4,2484.0,9.8,63.3
2026-08-15,All Probiotic (search),25,333.63,65.0,42.0,23,4.97,6345,21748,10,2978.43,2.0,92.0
2026-08-16,Digestive Care,346,343.34,33.0,34.3,280,4.94,64178,194636,91,47728.23,28.5,80.9
2026-08-16,Women's Health,200,460.0,60.0,24.3,145,4.93,2642,7789,13,7269.52,16.5,72.5
2026-08-16,Immunity,200,719.0,8.0,16.8,104,4.97,6574,17885,21,25846.86,16.5,52.0
2026-08-16,Multivitamins,200,702.0,88.11,23.3,139,4.89,11130,29422,32,14256.26,16.5,69.5
2026-08-16,Well Being Sets,120,970.0,90.0,18.7,69,4.98,9474,28485,122,82615.21,9.9,57.5
2026-08-16,Detoxification,113,499.0,9.0,25.1,71,4.91,14211,43394,4,1254.49,9.3,62.8
2026-08-16,All Probiotic (search),33,499.0,65.0,33.9,27,4.98,10117,32749,21,4644.0,2.7,81.8
2026-08-17,Digestive Care,343,257.0,45.0,37.8,283,4.94,73668,239863,80,31806.98,28.4,82.5
2026-08-17,Immunity,200,554.5,8.0,17.6,105,4.95,7738,20702,20,15353.54,16.6,52.5
2026-08-17,Women's Health,200,390.0,60.0,23.8,135,4.93,2434,6789,5,1688.0,16.6,67.5
2026-08-17,Multivitamins,200,660.0,92.79,26.6,145,4.92,14897,38856,136,37274.5,16.6,72.5
2026-08-17,Well Being Sets,120,919.5,90.0,20.4,77,4.98,9288,27790,10,7878.93,10.0,64.2
2026-08-17,Detoxification,111,500.0,9.0,23.2,66,4.91,12471,39461,0,0.0,9.2,59.5
2026-08-17,All Probiotic (search),32,546.0,99.0,32.5,30,4.98,6482,19668,9,4651.55,2.7,93.8
2026-08-18,Digestive Care,336,292.75,33.0,33.9,261,4.93,72918,238446,276,110730.21,28.2,77.7
2026-08-18,Immunity,200,612.0,8.0,15.7,96,4.96,8408,22970,18,20268.6,16.8,48.0
2026-08-18,Women's Health,200,454.5,99.0,21.3,125,4.97,1972,5866,9,3749.0,16.8,62.5
2026-08-18,Multivitamins,200,555.0,99.0,24.7,131,4.91,14848,38533,22,4653.0,16.8,65.5
2026-08-18,Well Being Sets,120,841.79,90.0,16.9,68,4.98,9417,28074,20,11682.0,10.1,56.7
2026-08-18,Detoxification,112,507.79,9.0,22.7,65,4.91,12530,39548,2,634.41,9.4,58.0
2026-08-18,All Probiotic (search),24,394.0,65.0,38.5,23,4.98,7287,23506,9,3605.0,2.0,95.8
2026-08-20,Digestive Care,335,275.0,33.0,35.5,265,4.94,69144,217177,417,235942.73,27.7,79.1
2026-08-20,Women's Health,200,408.86,60.0,22.3,135,4.93,2150,6267,10,6197.0,16.5,67.5
2026-08-20,Immunity,200,591.5,8.0,16.6,98,4.96,6981,18480,33,21491.77,16.5,49.0
2026-08-20,Multivitamins,200,547.5,89.0,26.1,137,4.89,14983,39112,149,64840.24,16.5,68.5
2026-08-20,Detoxification,132,549.75,9.0,25.5,81,4.92,12725,40010,5,2009.0,10.9,61.4
2026-08-20,Well Being Sets,120,757.0,90.0,15.9,63,4.99,9226,27232,13,11920.0,9.9,52.5
2026-08-20,All Probiotic (search),23,399.0,7.0,33.7,23,4.97,8713,26337,21,5604.0,1.9,100.0
2026-08-23,Digestive Care,338,294.0,19.0,30.9,244,4.94,69076,216984,351,135470.54,26.8,72.2
2026-08-23,Immunity,200,590.0,8.0,16.1,99,4.95,7031,19727,129,55703.0,15.9,49.5
2026-08-23,Women's Health,200,399.0,56.0,23.9,132,4.93,2208,6333,14,8011.0,15.9,66.0
2026-08-23,Multivitamins,200,578.0,99.0,21.7,126,4.85,8628,23103,146,44832.28,15.9,63.0
2026-08-23,Detoxification,145,490.0,9.0,22.8,83,4.92,28740,116416,126,22594.84,11.5,57.2
2026-08-23,Well Being Sets,120,1000.0,90.0,17.1,64,4.98,5892,16666,29,28041.0,9.5,53.3
2026-08-23,All Probiotic (search),56,428.95,7.0,32.5,48,4.98,7514,23724,28,14216.16,4.4,85.7
